date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2018-01-02,95.0,牛市共振,2,,,,1.0,0.9,0.008301985044822269,0.01300723710521634,-0.007977941790009546
2018-01-03,90.72,牛市共振,3,,,0.8001,1.0,0.9216,0.001494160840803671,-0.003044657027866271,-0.0406179548462251
2018-01-04,90.23,牛市共振,3,,,0.8,1.0,0.907,0.0008918907504631424,0.0023892649350683026,-0.07988076148539791
2018-01-05,83.0,牛市共振,3,,,0.8002,1.0,0.6897,0.001759702819641662,-0.0028382010029501803,-0.08745506421035765
2018-01-08,89.91,牛市共振,3,,,0.8,1.0,0.8974,0.0005130926366161415,-0.029294125448075303,-0.09553837409445343
2018-01-09,90.48,牛市共振,3,,,0.8001,1.0,0.9143,-0.007675350679221982,-0.021740276968718053,-0.1444894848817766
2018-01-10,87.93,牛市共振,3,,,0.8,1.0,0.8378,0.006952821707317147,-0.012113379362746368,-0.13337372711563367
2018-01-11,87.27,牛市共振,3,,,0.8,1.0,0.8182,-0.004327766372337338,-0.016792904603105674,-0.12831357805964405
2018-01-12,80.72,牛市共振,3,,,0.8,1.0,0.6216,-0.024818209648148182,-0.013604055436128415,-0.1519192620486498
2018-01-15,65.98,分化,3,,,0.8001,1.0,0.1792,0.00829889521752536,0.017050532770316984,-0.10820205591344345
2018-01-16,90.56,牛市共振,3,,,0.8001,1.0,0.9167,0.002089957618753857,0.0112406829088314,-0.11481187314622066
2018-01-17,80.93,牛市共振,3,,,0.8001,1.0,0.6279,0.0021829816805427615,0.016589565701811804,-0.11507667840639246
2018-01-18,89.55,牛市共振,3,,,0.8001,1.0,0.8864,-0.00109848885018482,0.012881456341200304,-0.10133257321616662
2018-01-19,83.81,牛市共振,3,,,0.8001,1.0,0.7143,0.005487872178736808,0.010899309801642998,-0.09614020671403878
2018-01-22,79.15,分化,3,,,0.8001,1.0,0.5745,0.0025390386440677926,-0.006020993851527878,-0.07953010280413708
2018-01-23,89.06,牛市共振,3,,,0.8,1.0,0.8718,0.007390438327171678,-0.010080054736353206,-0.07907126096842487
2018-01-24,88.0,牛市共振,3,,,0.8001,1.0,0.84,-0.0014725782630118367,-0.04178463666685572,-0.08534837383368044
2018-01-25,84.36,牛市共振,3,,,0.8001,1.0,0.7308,-0.0030532774992301226,-0.07826924179052575,-0.07026194719893764
2018-01-26,82.22,牛市共振,3,,,0.8,1.0,0.6667,-0.011341855522020383,-0.08223931643720372,-0.07167528280040025
2018-01-29,67.37,分化,4,0.5,,0.8,1.0,0.3947,-0.0015549784046811066,-0.07831452328688449,-0.05391783757648372
2018-01-30,71.04,分化,4,0.5,,0.8,1.0,0.5417,-0.024873678423645296,-0.12639206350094834,-0.041567032723756836
2018-01-31,47.93,震荡,4,0.0,,0.8001,1.0,0.1169,-0.03949208836615381,-0.0994331221055833,-0.022219625871651938
2018-02-01,45.91,震荡,4,0.0,,0.8001,1.0,0.0363,-0.0073473220147648455,-0.0503740437454111,0.028306090891310642
2018-02-02,52.14,震荡,4,0.0,,0.8001,1.0,0.2857,-0.007113870184501825,-0.07327992169663788,0.05280841677254511
2018-02-05,53.15,震荡,4,0.0,,0.8001,1.0,0.3258,-0.05363649850030727,-0.04288531603379264,0.07597688710541028
2018-02-06,45.55,震荡,4,0.0,,0.8001,1.0,0.022,0.005218050666871532,0.012195497897407037,0.13064174496427428
2018-02-07,55.42,震荡,4,0.0,,0.8,1.0,0.4167,0.012832324244471671,0.008743834620448254,0.11391467374060293
2018-02-08,61.67,分化,4,0.0,,0.8001,1.0,0.6667,-0.03129104526719917,0.013639960628401004,0.09041882459625072
2018-02-09,42.35,震荡,4,0.0,,0.8,0.7901,0.104,0.025450852529935508,0.05127211909717455,0.12535230030964595
2018-02-12,67.87,分化,4,0.0,,0.8001,1.0,0.9146,0.0008255976420017408,0.04974944778660362,0.10303935139567022
2018-02-13,59.9,震荡,4,0.0,,0.8,1.0,0.5962,0.0017901810132023854,0.05207082959721365,0.10660448979368309
2018-02-14,60.3,分化,4,0.0,,0.8,1.0,0.6122,0.017748294498004302,0.050741094424323396,0.0991175264760209
2018-02-22,66.98,分化,4,0.0,,0.8,1.0,0.8793,0.004673015257826929,0.04790093072272117,0.08265068556076915
2018-02-23,76.86,分化,4,0.5,,0.8001,1.0,0.7742,0.02396558095734913,0.03826149017780045,0.019281486524742153
2018-02-26,80.3,牛市共振,4,0.5,,0.8001,1.0,0.9118,0.003038790840490746,0.021636677533217963,0.010256176078658807
2018-02-27,77.5,分化,4,0.5,,0.8001,1.0,0.8,0.000523996644171687,0.030233795833841892,0.033544048074648725
2018-02-28,75.52,分化,4,0.5,,0.8,1.0,0.7209,0.014997310665032071,0.024350856273493537,0.02837089406022919
2018-03-01,82.51,牛市共振,4,0.5,,0.8002,1.0,1.0,-0.0045687799479324775,0.01944988695807992,0.023566447061676987
2018-03-02,76.08,分化,4,0.5,,0.8001,1.0,0.7429,0.00756967674732012,0.04082779908367695,0.044392017932945116
2018-03-05,92.0,牛市共振,4,1.0,,0.8,1.0,0.88,0.011479407093414995,0.048230597206949,0.04177420776315022
2018-03-06,94.58,牛市共振,4,1.0,,0.8,1.0,0.9833,-0.0051892911791729945,0.03057557018824597,0.022496007211563418
2018-03-07,91.43,牛市共振,4,1.0,,0.8,1.0,0.8571,0.010141093047473237,0.025950905248660394,0.02379771497029437
2018-03-08,93.98,牛市共振,4,1.0,,0.8,1.0,0.9592,0.01630545960183749,0.006986176779019138,0.017786180968378806
2018-03-09,94.43,牛市共振,4,1.0,,0.8,1.0,0.9773,0.014735929338437925,-0.009424169443038255,0.003670445232198727
2018-03-12,94.06,牛市共振,4,1.0,,0.8,1.0,0.9623,-0.0055566308820826915,-0.01881241793818378,-0.0030092504884440263
2018-03-13,87.68,牛市共振,4,1.0,,0.8,1.0,0.7073,-0.009653462793261847,-0.009323609789751885,-0.002530467033087569
2018-03-14,80.72,牛市共振,4,1.0,,0.8,1.0,0.4286,-0.00853139064318531,-0.004656232211415756,0.004409616555807627
2018-03-15,88.55,牛市共振,4,1.0,,0.8,1.0,0.7419,-0.00025675827565085907,0.006418793890934804,0.006244048800038371
2018-03-16,91.43,牛市共振,4,1.0,,0.8,1.0,0.8571,0.005118701895865163,-0.04781621897378796,-0.015725980709094145
