date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2025-10-30,-0.0035049069929347088,-1,-0.3039840665066338,1,0.6999297583138472,1,0.0,0,-0.42786940734187295,1
2025-10-31,0.008215800674885587,1,0.2595895011711257,1,-0.24563651114064647,1,0.0,0,-0.4069627036245193,1
2025-11-03,0.00894998816779835,1,0.2410407422265238,1,-0.5297817345388829,1,0.0,0,0.2428869449806936,1
2025-11-04,0.007245871618826172,1,0.7152823743295905,1,0.270221161525921,1,0.0,0,0.5533959923423031,1
2025-11-05,0.00403066006491537,1,0.8975015999395181,1,-0.3446486178102403,1,0.0,0,0.7684503217465468,1
2025-11-06,0.0018474014761826751,1,0.3406275309923528,1,0.0386224312304352,1,0.0,0,0.7702378491742401,1
2025-11-07,-0.010826421438821954,-1,0.5448763447718276,1,0.08756915572461367,1,0.0,0,0.28600570055490465,1
2025-11-10,-0.020659670405689168,-1,0.35203211391484285,1,0.050136113240928704,1,0.0,0,0.655316476607487,1
2025-11-11,-0.018050239184311145,-1,0.782641875336817,1,0.20302898038608808,1,0.0,0,0.22261868124722728,1
2025-11-12,-0.012401386605188636,-1,0.6041228759012194,1,0.28886738211018603,1,0.0,0,0.367699832161897,1
2025-11-13,-0.029162770690668416,-1,0.15645262034971624,1,0.5428965099514819,1,0.0,0,0.6867941591478265,1
2025-11-14,-0.03771109074967871,-1,0.8115341734054532,1,-0.30429881630229666,1,0.0,0,0.689342279086314,1
2025-11-17,-0.03262352920067779,-1,1.3482943900234914,1,0.1328977481982036,1,0.0,0,0.8938202511209209,1
2025-11-18,-0.01702819986056625,-1,1.5101883315186764,1,-0.5215148959169319,1,0.0,0,0.8469889612052727,1
2025-11-19,-0.015401525648257475,-1,1.2695171072464757,1,-0.8491144656671489,1,0.0,0,0.8637750879059894,1
2025-11-20,-0.01085348546006537,-1,1.5809363377279066,1,-1.1984842290823,1,0.0,0,0.9314636632282526,1
2025-11-21,0.016403331088262085,1,2.2519512484590725,1,-1.7331320223431956,1,0.0,0,1.022348159124643,1
2025-11-24,0.02887509437286173,1,2.1451870537945394,1,-0.3408474009731763,1,0.0,0,1.2687262209775299,1
2025-11-25,0.014237024114998054,1,1.6944567173567928,1,-0.3291769042352774,1,0.0,0,1.4422764387831644,1
2025-11-26,0.0029712732939017883,1,1.641585250777976,1,-1.07496727248104,1,0.0,0,1.5066769203996149,1
2025-11-27,0.006901643567693405,1,1.6217678573303125,1,-0.5894003122875876,1,0.0,0,0.15872646468566587,1
2025-11-28,0.012785404590438088,1,1.202671578916597,1,-0.38076169672932547,1,0.0,0,0.25395904048380147,1
2025-12-01,0.009891629507148503,1,0.29249094067201514,1,-0.30346755861978225,1,0.0,0,0.5209066531846026,1
2025-12-02,0.009636643525562594,1,0.7671924311044707,1,-0.6398240713951868,1,0.0,0,0.5062281620300942,1
2025-12-03,0.013413826547788554,1,0.8705640933946375,1,-0.676899949245785,1,0.0,0,0.6254385892323548,1
2025-12-04,0.0012357457267093697,1,0.6455171990208391,1,-0.16848680837125493,1,0.0,0,0.8709288218747756,1
