date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2025-10-24,0.011872743557892473,1,-0.3447242293603495,1,0.02134042882147656,1,0.0,0,-0.9995625320180346,1
2025-10-27,-0.005098707625962318,-1,-0.8249486088452944,1,0.25197308777614563,1,0.0,0,-0.5573799474763608,1
2025-10-28,0.011906462377341054,1,-0.3139717685388341,1,-0.07748194580522905,1,0.0,0,0.5358737045744303,1
2025-10-29,-0.00798822571402924,-1,-0.8419921191648706,1,-0.060968493101781616,1,0.0,0,0.09213132799489292,1
2025-10-30,-0.014701636612666436,-1,-0.3039840665066338,1,-0.5276509654658325,1,0.0,0,0.42786940734187295,1
2025-10-31,0.0027442603301301993,1,0.27712713631010344,1,0.19506665999474676,1,0.0,0,0.41983491287184765,1
2025-11-03,-0.0074577253445586855,-1,0.2572849790659407,1,0.13343541795096067,1,0.0,0,-0.2306042646873229,1
2025-11-04,0.0018529027329989844,1,0.7339336000307244,1,-0.2965753954716371,1,0.0,0,-0.5392154542411258,1
2025-11-05,0.01429490516735954,1,0.9172386391986397,1,0.1088789765240635,1,0.0,0,-0.7554529815814052,1
2025-11-06,-0.0031126241188909054,-1,0.3406275309923528,1,0.11236739679878835,1,0.0,0,-0.7702378491742401,1
2025-11-07,0.003474463421602847,1,0.5330111338464414,1,-0.05534704687394119,1,0.0,0,-0.28473655579696927,1
2025-11-10,-0.009134129265100266,-1,0.3405799296663491,1,0.2299813502014985,1,0.0,0,-0.6550371644518177,1
2025-11-11,-0.001345094021268145,-1,0.7713457818861571,1,0.14858133392794567,1,0.0,0,-0.2222121935328365,1
2025-11-12,0.012089327039823683,1,0.5928334566293879,1,-0.2806339905369958,1,0.0,0,-0.36622552012344417,1
2025-11-13,-0.01572370046595184,-1,0.15645262034971624,1,0.14186530255979204,1,0.0,0,-0.6867941591478265,1
2025-11-14,-0.006500948826135278,-1,0.7975457648472466,1,0.06625918249536468,1,0.0,0,-0.6802447747334379,1
2025-11-17,-0.006493988487517255,-1,1.3335154841514332,1,-0.38515016081256,1,0.0,0,-0.8857276153578014,1
2025-11-18,0.004399858079545238,1,1.4965934771044984,1,-0.30143138319120094,1,0.0,0,-0.8381412591466547,1
2025-11-19,-0.005087709976273946,-1,1.2546826345839828,1,-0.5737704317048709,1,0.0,0,-0.855239279961645,1
2025-11-20,-0.024390352898410628,-1,1.5809363377279066,1,-0.14410039861956211,1,0.0,0,-0.9314636632282526,1
2025-11-21,-0.0012483811999961514,-1,1.5887936281882713,1,0.1557279741581447,1,0.0,0,-0.9957207091433306,1
2025-11-24,0.009522582019015013,1,1.4870490766188276,1,-0.28805031485677735,1,0.0,0,-1.2436913575365454,1
2025-11-25,0.006061992586102516,1,1.0441476354234454,1,-0.3908271206553395,1,0.0,0,-1.4184917952809262,1
2025-11-26,-0.0004920283896928668,-1,0.9950365920359159,1,-0.7754209485190084,1,0.0,0,-1.4833689285920022,1
2025-11-27,0.0024934431651024713,1,1.053382993374834,1,-0.21914232195579317,1,0.0,0,-1.379818433362377,1
2025-11-28,0.0110067869884507,1,0.5537393084888091,1,-0.3042892051900282,1,0.0,0,-1.1714027293587947,1
2025-12-01,-0.004840155074452679,-1,0.009346210705057412,1,-0.24479821185884681,1,0.0,0,-0.874856048056186,1
2025-12-02,-0.005112953160864575,-1,0.4751434169006038,1,-0.578124707101866,1,0.0,0,-0.5892678268025954,1
2025-12-03,0.0034247701514389384,1,0.5637313209698507,1,-0.6183331592848642,1,0.0,0,-0.7646708850595697,1
2025-12-04,0.00835144516969999,1,0.4684865195440967,1,-0.6576423004295938,1,0.0,0,-0.8709288218747756,1
2025-12-05,0.008118093849742936,1,-0.1519039051286896,1,-0.1639701960785862,1,0.0,0,-0.8699431591519352,1
2025-12-08,-0.005091421450446942,-1,-0.2968472526779945,1,-0.12049657087203051,1,0.0,0,-0.6692817722520247,1
2025-12-09,-0.0013909503131558365,-1,0.006659627031613954,1,-0.663195776005268,1,0.0,0,-0.009688704181563498,1
2025-12-10,-0.008633273294054389,-1,0.21691575126402443,1,-0.3063678560911534,1,0.0,0,-0.10429895778533745,1
2025-12-11,0.006318987752869765,1,0.6148399788655754,1,-0.8181720689045614,1,0.0,0,-0.4739013879647844,1
2025-12-12,-0.006306639452515306,-1,0.1662994870334395,1,-0.8123392688434665,1,0.0,0,-0.33003948932232,1
2025-12-15,-0.01197372283965692,-1,0.7277885958808941,1,-0.5772225230544817,1,0.0,0,-0.053698438592703845,1
2025-12-16,0.01830339132077219,1,0.8885364970027133,1,-0.8439760066721872,1,0.0,0,-0.3617366658732865,1
2025-12-17,-0.005913349163459758,-1,-0.03942381816186728,1,-0.1068796652281865,1,0.0,0,-0.08444320851051897,1
