date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2018-08-07,0.015407571458504021,1,0.366280541994301,1,-0.02948682060585171,1,0.0,0,0.0,0
2018-08-08,0.01140620124829983,1,0.7017717046925386,1,0.11176047813307662,1,0.0,0,0.0,0
2018-08-09,-0.020283084780163607,-1,0.16042998023051153,1,0.3828332313858559,1,0.0,0,0.0,0
2018-08-10,-0.044096584408327866,-1,0.18146779232061622,1,0.22386748535810905,1,0.0,0,0.0,0
2018-08-13,-0.04151554934808077,-1,-0.023775256188150153,1,0.014168267880432975,1,0.0,0,0.0,0
2018-08-14,-0.030518091857453022,-1,-0.1034021100510647,1,0.07931322303206736,1,0.0,0,0.0,0
2018-08-15,-0.02298148744058892,-1,0.17913380706937204,1,0.4754706024249045,1,0.0,0,0.0,0
2018-08-16,-0.0066988758183702535,-1,0.22661038049231216,1,0.5193599110299608,1,0.0,0,0.0,0
2018-08-17,0.008863567363580405,1,0.49442914683772504,1,0.9660427650495921,1,0.0,0,0.0,0
2018-08-20,0.023562343664551344,1,0.39161926545454634,1,0.23179208452593086,1,0.0,0,0.0,0
2018-08-21,0.014491384972989518,1,0.24861957197096748,1,-0.014067050044905827,1,0.0,0,0.0,0
2018-08-22,0.021190192937137864,1,0.392829475919585,1,0.3793583849005115,1,0.0,0,0.0,0
2018-08-23,-0.001259277432324235,-1,0.17140879237610382,1,0.14499288844467792,1,0.0,0,0.0,0
2018-08-24,-0.00936902713520782,-1,0.15463926724334942,1,0.35185915440237175,1,0.0,0,0.0,0
2018-08-27,-0.030373405522535868,-1,-0.20815246470551427,1,-0.38638601937034245,1,0.0,0,0.0,0
2018-08-28,-0.020472991405861563,-1,-0.1216286077039157,1,-0.09119175561260488,1,0.0,0,0.0,0
2018-08-29,-0.028602674885285895,-1,-0.21608967144769262,1,-0.05558345258342739,1,0.0,0,0.0,0
2018-08-30,-0.01605432125515316,-1,-0.035092446286371884,1,0.5374813086301439,1,0.0,0,0.0,0
2018-08-31,-0.0027843732162742274,-1,0.08081551806050095,1,0.6998240029556152,1,0.0,0,0.0,0
2018-09-03,-0.020426879292601785,-1,0.2342794266428029,1,0.2089516217251772,1,0.0,0,0.0,0
2018-09-04,-0.02958963050852892,-1,-0.059364097937145685,1,-0.07531688338645266,1,0.0,0,0.0,0
2018-09-05,-0.015318088498385896,-1,0.1810604963714403,1,0.494266798781054,1,0.0,0,0.0,0
2018-09-06,-0.0038433359994148875,-1,0.08454372080861158,1,0.3974083210368479,1,0.0,0,0.0,0
2018-09-07,-0.01634520181944832,-1,-0.06024237663519967,1,0.02953650685484503,1,0.0,0,0.0,0
2018-09-10,-0.013669604239416988,-1,0.44718686067405466,1,0.9202186000904479,1,0.0,0,0.0,0
2018-09-11,0.0009315808949428295,1,0.27557444846491436,1,0.21198662107095245,1,0.0,0,0.0,0
2018-09-12,0.010963808133032993,1,0.2523605778428358,1,0.08399620091587685,1,0.0,0,0.0,0
2018-09-13,-0.0002528050093815182,-1,-0.025551979916568303,1,0.3011182210881212,1,0.0,0,0.0,0
2018-09-14,0.022893943365047242,1,0.10966336795387269,1,-0.0901154591395215,1,0.0,0,0.0,0
2018-09-17,0.036592356599158826,1,0.4039986542200539,1,0.22239911271072418,1,0.0,0,0.0,0
2018-09-18,0.023019380564373915,1,0.05090959315517757,1,0.5607702303701988,1,0.0,0,0.0,0
2018-09-19,-0.00618265750350655,-1,-0.11245447979932115,1,0.16036292468212668,1,0.0,0,0.0,0
2018-09-20,0.005833447208386966,1,-0.07070328762301863,1,-0.30657933061308207,1,0.0,0,0.0,0
2018-09-21,-0.04001993708964391,-1,-0.36309053971646443,1,-0.04387222563351537,1,0.0,0,0.0,0
