代码,名称,板块,收盘,涨跌%,BIAS20,量比,量状态,超买超卖,共振数,趋势评级,趋势分,拐点标签,拐点分,均线排列,MACD,KDJ_K,KDJ_J,RSI12,PE,PB,市值亿,PE有效,PE模式,营收增速,净利增速,ROE,毛利率,负债率,财报评级,财报红旗,审计闸门,主力净流入亿,主力净占比%,近5日主力亿,连续净流入天,买卖倾向,买卖分,ATR%,1日涨概率%,5日涨概率%,5日止盈%,5日止损%,近支撑,近压力,公告数
603200,上海洗霸,,37.2,-0.75,3.88,0.78,平量,中性,0,中性,20,无,0,纠缠,多头,60.39,36.54,48.65,81.13,6.05,66.52,True,PE适用,8.670878,-81.078662,0.17,31.546954,36.409445,,,,,,,,偏卖出,-2,4.7,50.1,47.1,16.83,12.62,34.89,40.75,1
603421,鼎信通讯,,6.0,-0.99,6.04,0.45,缩量,中性,0,中性,20,无,0,纠缠,多头,59.77,41.44,54.96,-6.61,1.63,39.13,False,亏损/PE失效,-13.43416,32.395634,-3.82,23.669976,31.380381,,,,,,,,观望,0,3.94,51.5,49.7,14.1,10.57,5.89,6.62,0
002222,福晶科技,光学元件,64.96,1.99,12.94,0.65,缩量,超买,2,中性,20,无,0,纠缠,多头,85.58,101.2,53.68,97.83,15.73,287.51,True,PE适用,35.625456,30.704128,3.63,44.929525,26.659553,良,,通过,1.53,7.33,5.22,1.0,观望,1,6.53,51.1,49.5,23.35,17.51,64.72,65.28,1
300476,胜宏科技,AI算力,269.33,-0.73,13.8,0.64,缩量,超买,2,中性,20,无,0,纠缠,多头,84.1,92.64,54.94,60.06,16.15,2810.76,True,PE适用,27.992782,39.947998,7.62,34.458493,55.233938,中,应收存货激增/短债覆盖不足,通过,-10.45,-8.84,29.06,0.0,观望,-1,8.05,47.5,53.5,28.8,21.6,258.53,276.51,2
002058,威尔泰,,16.64,-1.48,3.64,0.66,缩量,中性,0,中性,20,无,0,纠缠,多头,55.39,32.97,46.76,11.38,38.61,24.46,True,PE适用,1.442479,366.657967,12.6,26.731727,72.515347,,,,-0.04,-9.25,-0.12,0.0,观望,-1,4.65,49.9,56.4,16.63,12.47,14.01,18.36,11
301556,托普云农,,59.82,-0.55,4.09,0.7,缩量,中性,0,中性,20,无,0,纠缠,多头,50.54,22.91,53.62,48.83,5.3,52.45,True,PE适用,-12.150173,19.332103,0.62,46.602463,17.961728,,,,0.22,11.33,0.16,1.0,观望,1,4.55,49.7,44.9,16.26,12.2,51.49,89.17,0
001202,炬申股份,,13.36,-0.37,1.07,0.65,缩量,中性,0,中性,20,无,0,纠缠,多头,73.57,73.04,49.33,29.55,2.53,21.7,True,PE适用,68.266232,12.328244,1.03,9.848111,59.285756,差,现金含量不足/应收存货激增/短债覆盖不足,通过,-0.0,-0.92,-0.02,0.0,观望,-1,2.86,51.3,54.7,10.21,7.66,13.07,13.59,1
000892,欢瑞世纪,,4.0,-1.96,7.69,0.73,平量,中性,0,中性,20,无,0,纠缠,多头,64.58,39.61,54.67,-14.16,6.75,40.81,False,亏损/PE失效,-6.272057,-880.703196,-6.49,34.959664,55.788577,风险,应收存货激增/扣非为负,通过,-0.23,-9.25,-0.06,0.0,观望,-1,6.43,47.5,49.9,23.0,17.25,3.51,4.62,0
002037,保利联合,,6.94,-0.43,4.79,0.41,缩量,中性,0,中性,20,无,0,纠缠,多头,50.35,15.49,54.57,-4.27,3.62,37.21,False,亏损/PE失效,-20.193252,-38.715553,-7.73,13.534671,88.191687,,,,-0.04,-5.52,0.55,0.0,观望,-1,4.68,47.7,47.1,16.75,12.57,6.68,8.16,4
002667,*ST威领,,13.74,1.03,18.67,0.54,缩量,中性,1,偏多,30,无,0,纠缠,多头,63.74,40.7,56.31,-10.13,-189.98,37.79,False,亏损/PE失效,136.185166,166.797599,0.0,67.551756,89.520911,,,,,,,,观望,-1,9.8,49.3,54.1,35.06,26.29,13.05,13.96,0
301449,天溯计量,,39.05,-1.14,7.22,0.55,缩量,中性,0,偏多,30,无,0,纠缠,多头,61.95,46.21,55.16,38.39,3.09,35.65,True,PE适用,-6.068003,-73.068654,0.33,43.269779,10.248282,,,,-0.02,-4.63,-0.08,0.0,观望,0,5.86,41.9,35.8,20.98,15.74,38.08,42.18,6
301395,仁信新材,,12.24,-0.16,16.05,1.19,平量,中性,1,偏多,30,无,0,纠缠,多头,78.36,65.67,63.49,-34.17,2.1,30.28,False,亏损/PE失效,-13.778161,-564.993458,-6.73,-16.809322,29.754057,,,,0.02,4.32,-0.01,1.0,偏买入,2,5.81,51.9,57.6,20.79,15.6,12.1,13.06,0
301227,森鹰窗业,,24.75,-3.17,19.8,0.73,平量,超买,2,偏多,30,无,0,纠缠,多头,86.13,84.51,61.2,-53.15,2.03,32.54,False,亏损/PE失效,11.60465,-164.612248,-1.31,12.189065,23.320189,,,,0.04,6.96,-0.02,1.0,偏买入,2,6.22,53.7,54.1,22.25,16.69,24.5,27.29,0
301159,三维天地,,33.55,-1.06,11.01,0.5,缩量,中性,1,偏多,30,无,0,纠缠,多头,58.65,46.22,61.51,114.42,4.0,25.95,False,亏损/PE失效,10.080662,48.201447,-2.33,44.662857,18.547294,,,,-0.01,-1.06,-0.1,0.0,观望,0,6.47,50.5,45.3,23.13,17.35,33.25,33.68,1
600438,通威股份,,12.8,-0.7,6.22,0.5,缩量,中性,0,偏多,30,无,0,纠缠,多头,63.53,45.42,56.64,-6.13,1.65,576.25,False,亏损/PE失效,-23.901494,5.721166,-6.49,-4.028204,74.230636,,,,-0.03,-0.37,2.45,0.0,观望,0,4.76,45.9,41.4,17.03,12.77,10.32,18.77,1
600540,新赛股份,,3.86,-3.26,6.5,0.65,缩量,中性,0,偏多,30,无,0,纠缠,多头,72.19,51.31,56.3,-19.83,6.12,23.55,False,亏损/PE失效,69.750337,129.888975,11.49,4.789862,93.417905,,,,-0.0,-0.14,-0.34,0.0,偏卖出,-2,4.33,49.5,51.1,15.49,11.62,3.77,4.09,3
301091,深城交,,18.98,-1.15,11.4,0.5,缩量,中性,1,偏多,30,无,0,纠缠,多头,73.07,57.51,65.26,92.78,4.18,101.24,True,PE适用,49.6527,510.079888,1.6,33.163614,29.013568,,,,-0.07,-5.68,-0.33,0.0,偏买入,2,4.08,48.1,46.1,14.6,10.95,18.76,19.3,18
300290,ST荣科,,6.06,-0.66,15.03,0.54,缩量,中性,1,偏多,30,无,0,纠缠,多头,53.53,30.45,55.41,-104.53,5.23,38.96,False,亏损/PE失效,-11.463538,30.360865,-2.37,37.948894,45.175022,,,,,,,,观望,1,9.32,47.9,43.8,33.36,25.02,3.66,9.76,0
603058,永吉股份,,9.77,-0.71,5.51,0.57,缩量,中性,0,偏多,30,无,0,纠缠,多头,73.24,57.04,55.83,39.3,3.76,42.26,True,PE适用,-16.654917,44.720261,6.84,29.358037,37.92937,,,,,,,,观望,1,5.34,50.3,50.7,19.09,14.32,9.37,9.85,0
603081,大丰实业,,9.58,-0.83,7.42,0.58,缩量,中性,0,偏多,30,无,0,纠缠,多头,75.53,66.1,59.61,68.78,1.27,40.48,True,PE适用,26.153682,-88.413106,0.12,29.024705,57.365642,,,,,,,,观望,1,3.4,47.5,51.3,12.16,9.12,8.8,9.59,0
300906,日月明,,27.17,-0.62,8.03,0.41,缩量,中性,0,偏多,30,无,0,纠缠,多头,74.62,60.09,60.3,37.95,2.38,22.33,True,PE适用,11.400797,10.860346,1.62,60.607978,11.504764,,,,-0.01,-5.95,0.02,0.0,偏买入,2,4.11,49.5,50.3,14.72,11.04,26.4,27.45,2
603719,良品铺子,,9.85,-2.18,5.57,0.83,平量,中性,0,偏多,30,无,0,纠缠,多头,70.56,52.39,57.71,-61.75,1.93,39.4,False,亏损/PE失效,17.775107,231.960371,2.36,27.319047,40.045951,,,,0.0,0.93,0.07,1.0,偏买入,2,4.45,44.5,45.1,15.9,11.93,9.71,10.17,0
605188,国光连锁,,12.75,-2.67,4.53,0.82,平量,中性,0,偏多,30,无,0,纠缠,多头,70.52,54.95,56.28,316.32,5.29,64.74,True,PE适用,1.197625,22.128227,2.19,21.922977,55.942807,,,,,,,,观望,1,4.64,48.1,45.7,16.6,12.45,10.69,13.29,0
000045,深纺织Ａ,,10.06,-0.1,4.93,0.69,缩量,中性,0,偏多,30,无,0,纠缠,多头,73.79,61.77,57.0,72.1,1.68,50.3,True,PE适用,1.480113,6.442736,0.74,15.015956,21.298799,中,,通过,-0.01,-2.08,-0.03,0.0,观望,0,2.93,51.3,50.5,10.49,7.87,9.39,10.35,0
002451,摩恩电气,,7.4,-0.54,5.11,0.63,缩量,中性,1,偏多,30,无,0,纠缠,多头,80.21,68.95,57.54,238.46,4.12,31.82,False,高PE_折旧/周期底扰动,-10.061239,86.469728,0.79,11.009046,53.18031,,,,0.0,0.07,-0.13,1.0,偏买入,2,3.08,53.9,53.5,11.02,8.26,6.9,7.41,0
301552,科力装备,,25.09,-0.71,7.49,0.41,缩量,中性,0,偏多,30,无,0,纠缠,多头,55.94,46.86,57.41,21.68,2.57,31.05,True,PE适用,-6.319254,-32.187269,2.11,35.311825,18.686162,,,,0.03,5.99,-0.09,1.0,偏买入,2,4.88,48.9,50.9,17.47,13.1,20.66,27.87,0
600262,北方股份,,14.81,-0.27,3.95,0.47,缩量,中性,0,偏多,30,无,0,纠缠,多头,59.66,38.15,55.23,15.51,1.88,35.25,True,PE适用,-6.681456,18.556744,4.1,18.392738,62.305095,,,,0.02,1.62,0.11,1.0,偏买入,2,3.64,50.1,51.3,13.01,9.76,14.6,15.1,0
301047,义翘神州,,130.15,8.46,50.13,0.97,平量,超买,3,偏多,40,无,0,多头排列,多头,86.03,99.36,88.19,92.04,2.71,144.72,True,PE适用,18.10917,42.017992,0.6,75.463391,3.908887,,,,,,,,偏买入,3,7.65,49.5,53.7,27.36,20.52,71.29,,1
688296,和达科技,,23.99,8.55,45.15,5.52,放量,超买,3,偏多,40,超跌待反弹,30,多头排列,多头,95.46,98.17,92.71,-33.31,3.97,22.68,False,亏损/PE失效,17.13882,11.413594,-2.16,35.232816,36.258315,,,,,,,,偏买入,2,5.19,54.3,56.4,18.57,13.93,14.69,,0
603221,爱丽家居,,27.27,,40.32,,数据不足,超买,3,偏多,40,无,0,多头排列,多头,99.77,100.87,92.74,-333.68,4.21,66.14,False,亏损/PE失效,-9.208955,-166.877777,-0.94,8.993833,29.164429,风险,应收存货激增/短债覆盖不足/扣非为负,通过,,,,,观望,1,4.11,50.1,53.7,14.69,11.02,12.56,,5
605179,一鸣食品,,31.91,-4.55,55.17,1.24,平量,超买,3,偏多,40,无,0,多头排列,多头,91.74,88.51,81.03,206.32,9.63,110.8,True,PE适用,-1.983934,18.855236,1.38,26.833837,59.07446,中,,通过,,,,,观望,1,8.34,48.3,44.8,29.83,22.37,21.52,34.28,1
301080,百普赛斯,,90.21,2.27,49.7,0.85,平量,超买,3,偏多,40,无,0,多头排列,多头,87.99,98.8,85.96,86.37,5.47,147.91,True,PE适用,26.326122,13.993916,1.73,90.350103,9.548346,,,,,,,,观望,1,7.41,50.7,58.4,26.51,19.88,58.12,,7
300862,蓝盾光电,,47.29,19.99,113.33,22.39,放量,超买,3,偏多,40,超跌待反弹,30,多头排列,多头,96.89,107.14,96.36,-76.51,3.71,72.76,False,亏损/PE失效,-13.200077,-271.993234,-0.44,27.800506,16.085656,,,,,,,,偏买入,4,4.27,47.5,44.2,15.28,11.46,30.26,,18
600664,哈药股份,,8.91,0.56,35.66,0.86,平量,超买,3,偏多,40,无,0,多头排列,多头,92.78,97.88,83.1,67.23,3.55,208.28,True,PE适用,0.017925,-24.325524,2.79,24.107315,54.710234,,,,,,,,观望,-1,6.78,48.7,52.3,24.26,18.2,3.87,,1
688137,近岸蛋白,,69.58,8.72,63.72,6.34,放量,超买,3,偏多,40,超跌待反弹,30,多头排列,多头,88.39,102.98,84.99,-63.53,2.41,48.65,False,亏损/PE失效,11.368431,10.19643,-0.52,70.293581,5.818054,,,,,,,,偏买入,2,7.13,49.5,48.1,25.52,19.14,47.0,,2
600721,百花医药,,13.81,-4.76,53.34,1.34,平量,超买,3,偏多,40,无,0,多头排列,多头,91.44,89.1,81.68,184.25,6.06,49.03,False,高PE_折旧/周期底扰动,-30.680138,-67.941849,0.83,48.016178,26.045028,,,,,,,,观望,-1,5.95,46.5,51.5,21.3,15.97,9.28,,3
601825,沪农商行,,8.65,1.53,3.09,2.34,放量,中性,0,偏多,45,反弹启动,55,纠缠,金叉,45.07,59.74,63.33,6.76,0.63,834.24,True,PE适用,1.231368,0.725217,2.765,66.879158,91.635851,差,,通过,0.03,0.6,0.92,9.0,偏买入,7,2.78,48.1,48.3,9.96,7.47,8.55,8.77,2
300996,普联软件,,17.24,-2.6,7.27,0.98,平量,中性,0,偏多,50,无,0,多头排列,多头,48.51,6.36,54.85,87.25,6.19,81.85,True,PE适用,8.208298,142.183292,0.45,32.279722,25.166365,,,,,,,,观望,1,11.67,50.5,49.3,41.74,31.31,12.57,,1
002275,桂林三金,,13.33,-0.97,0.45,1.07,平量,中性,0,偏多,50,无,0,多头排列,多头,64.12,63.22,52.02,17.34,2.36,78.5,True,PE适用,12.548902,18.642347,3.82,82.264277,23.065199,,,,-0.01,-2.86,-0.02,0.0,观望,0,1.88,51.3,54.1,6.73,5.05,13.31,13.63,2
603682,锦和商管,,11.84,-10.03,20.09,1.57,放量,中性,1,偏多,60,无,0,多头排列,多头,79.52,64.08,63.96,-34.07,8.57,55.76,False,亏损/PE失效,-5.793234,-83.092052,1.4,26.023359,85.555642,,,,,,,,观望,1,7.45,54.3,56.2,26.66,19.99,7.8,,1
603444,吉比特,,390.3,1.57,4.14,1.81,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,53.32,40.66,59.88,12.55,4.64,281.18,True,PE适用,48.013807,69.314173,18.57,93.707793,22.610471,优,应收存货激增,通过,-0.28,-2.26,-0.06,0.0,偏买入,3,3.68,49.9,53.5,13.16,9.87,347.82,415.54,6
300951,博硕科技,,75.71,7.25,31.12,1.38,平量,超买,3,偏多,60,无,0,多头排列,多头,88.34,92.99,74.35,160.6,5.01,113.14,False,亏损/PE失效,8.877788,-137.79615,-0.85,25.103944,21.182318,,,,0.01,0.19,1.73,8.0,偏买入,3,9.42,53.7,55.4,33.71,25.28,36.22,,0
300908,仲景食品,,25.3,0.88,6.44,1.65,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,60.86,57.26,68.17,18.36,1.95,36.18,True,PE适用,6.784738,10.931535,2.94,44.463748,12.205043,中,应收存货激增,通过,0.05,7.46,0.15,6.0,偏买入,6,3.87,47.5,47.5,13.86,10.39,24.84,27.06,0
