代码,名称,板块,收盘,涨跌%,BIAS20,量比,量状态,超买超卖,共振数,趋势评级,趋势分,拐点标签,拐点分,均线排列,MACD,KDJ_K,KDJ_J,RSI12,PE,PB,市值亿,PE有效,PE模式,营收增速,净利增速,ROE,毛利率,负债率,财报评级,财报红旗,审计闸门,主力净流入亿,主力净占比%,近5日主力亿,连续净流入天,买卖倾向,买卖分,ATR%,1日涨概率%,5日涨概率%,5日止盈%,5日止损%,近支撑,近压力,公告数
603039,泛微网络,,44.9,-3.15,18.79,0.82,平量,中性,1,偏多,60,无,0,多头排列,多头,72.77,60.34,64.64,42.38,5.2,137.61,True,PE适用,1.28672,137.906533,2.42,93.716912,37.893378,,,,,,,,观望,1,8.36,47.5,48.9,29.9,22.42,44.33,46.52,1
603882,金域医学,,30.06,-1.57,7.06,0.45,缩量,中性,0,偏多,60,无,0,多头排列,多头,69.25,58.81,64.22,-130.72,2.11,134.21,False,亏损/PE失效,-7.877708,254.004524,0.65,34.895865,29.535632,,,,0.02,0.44,0.65,1.0,偏买入,2,4.23,46.5,45.5,15.15,11.36,30.03,30.56,5
000802,北京文化,,5.92,-5.43,36.5,3.23,放量,超买,3,偏多,60,无,0,多头排列,多头,88.15,90.39,76.92,-14.56,5.01,30.57,False,亏损/PE失效,-49.339572,90.540372,-3.32,1.590551,65.168641,,,,,,,,观望,1,6.35,47.9,51.3,22.71,17.03,4.89,6.22,0
300112,万讯自控,,9.52,6.61,25.16,1.62,放量,超买,3,偏多,60,超跌待反弹,30,多头排列,多头,93.79,95.66,77.38,-43.73,2.76,25.66,False,亏损/PE失效,-13.961619,24.151988,-0.58,41.938063,35.916667,,,,,,,,偏买入,2,5.43,55.1,54.3,19.43,14.58,9.21,9.7,0
300587,天铁科技,,5.21,-2.98,19.02,1.07,平量,超买,3,偏多,60,无,0,多头排列,多头,86.99,77.89,73.8,-31.83,3.11,69.72,False,亏损/PE失效,-0.832282,76.575429,0.81,41.182864,63.258604,,,,,,,,观望,1,4.63,45.3,48.3,16.58,12.43,5.01,5.41,0
300795,米奥会展,,17.1,2.83,16.6,1.11,平量,中性,1,偏多,60,无,0,多头排列,多头,64.88,60.37,64.51,30.53,7.69,48.24,False,亏损/PE失效,127.83965,32.901513,-3.85,41.808099,23.530983,,,,,,,,观望,1,12.05,47.3,44.8,43.1,32.32,14.78,19.33,0
001217,华尔泰,,9.83,-0.3,4.08,0.81,平量,中性,0,偏多,60,无,0,多头排列,多头,58.69,41.11,58.88,-73.3,1.48,32.13,False,亏损/PE失效,10.284703,-49.064666,0.68,7.805197,31.586572,,,,-0.01,-3.68,-0.07,0.0,观望,0,3.62,48.1,47.7,12.95,9.71,9.1,11.1,1
300615,欣天科技,,17.62,1.85,42.32,0.65,缩量,超买,3,偏多,60,无,0,多头排列,多头,80.81,73.7,71.23,-83.76,7.08,33.39,False,亏损/PE失效,79.398573,-789.835998,-6.89,19.897483,48.834643,,,,,,,,观望,-1,7.97,51.7,50.3,28.5,21.37,13.79,19.68,2
002832,比音勒芬,,26.08,-0.23,5.68,0.57,缩量,中性,0,偏多,60,无,0,多头排列,多头,63.75,58.37,63.87,23.21,2.45,140.51,True,PE适用,18.361945,16.538229,6.96,75.271654,27.947852,,,,-0.02,-0.71,-0.88,0.0,偏买入,2,5.87,48.5,50.5,21.0,15.75,19.6,26.9,1
000721,西安饮食,,6.58,-0.9,4.0,0.7,平量,中性,0,偏多,60,无,0,多头排列,多头,64.9,45.89,57.46,-25.38,29.27,37.13,False,亏损/PE失效,-17.538835,-0.09957,-20.68,-0.439581,88.611455,风险,现金含量不足/高负债/短债覆盖不足/扣非为负,通过,-0.09,-9.05,-0.08,0.0,观望,0,4.16,51.7,48.9,14.87,11.16,6.2,6.81,0
000009,中国宝安,,7.9,-4.36,9.29,0.62,缩量,中性,0,偏多,60,无,0,多头排列,多头,76.88,61.6,61.75,402.33,2.08,208.92,False,高PE_折旧/周期底扰动,19.718191,-89.641213,0.17,25.001757,60.196521,风险,增收不增利/现金含量不足/短债覆盖不足,通过,-0.49,-15.32,-0.42,0.0,观望,0,5.05,45.3,44.4,18.08,13.56,7.86,8.02,3
300359,全通教育,,4.31,-2.05,5.51,0.58,缩量,中性,0,偏多,60,无,0,多头排列,多头,46.56,26.92,55.58,-39.5,5.44,27.87,False,亏损/PE失效,-24.819596,-6.639547,-3.89,22.994321,17.945665,,,,-0.04,-4.4,-0.15,0.0,观望,0,8.88,48.3,46.5,31.78,23.84,4.26,5.0,2
300407,凯发电气,,12.61,-0.63,6.28,0.75,平量,中性,0,偏多,60,无,0,多头排列,多头,65.75,61.97,59.55,56.89,2.31,43.55,True,PE适用,10.465629,262.51181,0.44,23.251225,48.394057,,,,-0.09,-8.71,-0.2,0.0,观望,0,7.04,51.3,50.3,25.19,18.89,12.6,13.01,0
688202,美迪西,,108.76,1.31,26.25,4.65,放量,超买,3,偏多,60,超跌待反弹,30,多头排列,多头,84.54,100.08,74.78,-106.14,7.46,146.12,False,亏损/PE失效,36.524281,207.3454,0.8,26.055049,29.204562,差,现金含量不足/应收存货激增/短债覆盖不足,通过,-0.89,-7.63,-1.69,0.0,观望,-1,7.46,49.9,51.3,26.7,20.03,68.42,,3
688046,药康生物,,40.5,-1.1,37.72,3.34,放量,超买,3,偏多,60,无,0,多头排列,多头,85.4,93.62,76.44,101.47,7.11,162.11,True,PE适用,21.785123,57.116033,2.09,64.066311,20.542036,中,现金含量不足/应收存货激增,通过,-0.21,-2.33,1.41,0.0,偏卖出,-2,8.07,48.9,55.2,28.87,21.66,20.7,,1
300746,汉嘉数智,,14.47,-0.89,13.02,0.72,平量,中性,1,偏多,60,无,0,多头排列,多头,66.24,37.53,67.26,48.44,4.12,33.97,True,PE适用,-19.869991,-21.784247,1.0,24.480838,64.215605,,,,-0.0,-0.61,-0.24,0.0,偏买入,2,5.6,47.1,48.7,20.04,15.03,14.33,14.6,0
301234,五洲医疗,,90.63,0.01,31.78,0.57,缩量,超买,2,偏多,60,无,0,多头排列,多头,78.0,78.93,76.79,278.58,8.12,62.49,True,PE适用,-3.327517,42.887762,1.05,17.441753,9.942542,差,现金含量不足,通过,0.22,7.25,0.27,3.0,偏买入,3,9.7,51.3,56.0,34.72,26.04,41.1,,1
300981,中红医疗,,15.51,-0.89,15.61,0.53,缩量,中性,1,偏多,60,无,0,多头排列,多头,69.57,58.22,66.68,-52.77,1.27,66.69,False,亏损/PE失效,-4.328207,-73.943195,0.09,14.302109,30.460703,,,,-0.36,-16.66,-0.88,0.0,观望,0,8.03,51.7,52.5,28.74,21.55,12.8,15.99,0
301218,华是科技,,47.58,0.59,13.0,0.75,平量,超买,2,偏多,60,无,0,多头排列,多头,84.03,91.66,62.06,-196.98,5.98,54.26,False,亏损/PE失效,-71.5434,-50.945389,-0.32,15.390366,40.453763,风险,应收存货激增/扣非为负,通过,-0.21,-5.72,1.3,0.0,观望,0,8.52,50.3,52.5,30.47,22.86,35.15,,6
003032,传智教育,,12.26,5.51,36.8,0.92,平量,超买,2,偏多,60,无,0,多头排列,多头,79.52,66.21,71.37,-55.34,3.96,46.28,False,亏损/PE失效,43.747188,127.184262,0.12,53.492141,27.493048,差,扣非占比低/扣非为负,通过,0.76,7.44,-0.96,1.0,观望,0,8.47,52.9,50.1,30.29,22.72,10.09,12.49,2
002004,华邦健康,,4.58,0.88,4.14,1.13,平量,中性,0,偏多,60,无,0,多头排列,多头,69.62,69.22,65.91,12.83,0.84,87.71,True,PE适用,-0.080348,-16.007275,1.51,35.870309,41.887734,,,,0.1,5.16,0.33,2.0,偏买入,3,2.46,49.7,51.1,8.82,6.61,4.52,4.62,1
600162,香江控股,,4.7,2.84,41.16,1.45,平量,超买,3,偏多,60,无,0,多头排列,多头,83.53,78.29,78.99,-160.01,2.45,140.22,False,亏损/PE失效,-31.715684,2.972626,-0.38,41.387565,67.031269,,,,,,,,观望,1,7.89,46.5,48.3,28.22,21.16,2.91,,0
301270,汉仪股份,,33.67,-1.84,7.6,0.74,平量,中性,0,偏多,60,无,0,多头排列,多头,75.09,70.29,60.13,434.52,3.48,33.67,False,亏损/PE失效,-15.908075,-139.280968,-0.19,79.667837,6.630445,,,,-0.13,-6.88,0.15,0.0,观望,0,6.78,51.5,50.5,24.25,18.19,32.78,35.03,0
301633,港迪技术,,58.1,-1.16,3.86,0.49,缩量,中性,0,偏多,60,无,0,多头排列,多头,56.88,38.37,58.8,50.57,3.55,33.07,False,亏损/PE失效,28.470717,-130.327808,-1.28,24.080106,24.16577,,,,-0.02,-5.16,0.02,0.0,观望,0,5.05,46.5,44.4,18.05,13.54,43.47,64.22,0
600196,复星医药,,24.21,-0.9,3.48,0.7,平量,中性,0,偏多,60,无,0,多头排列,多头,73.77,78.48,60.4,18.24,1.29,634.23,True,PE适用,6.930767,13.869468,1.78,49.700914,48.222152,,,,0.63,5.26,0.46,1.0,偏买入,2,2.4,44.7,47.5,8.6,6.45,23.81,24.75,8
603980,吉华集团,,6.95,-2.39,6.22,0.81,平量,中性,0,偏多,60,无,0,多头排列,多头,62.0,49.57,58.69,46.69,1.16,45.89,True,PE适用,20.887628,187.894877,0.47,15.844832,11.130264,,,,-0.09,-3.08,0.16,0.0,偏买入,2,4.94,49.1,50.9,17.69,13.26,6.88,7.02,1
601007,金陵饭店,,6.69,0.15,2.68,1.46,平量,中性,0,偏多,60,无,0,多头排列,多头,73.41,76.52,59.96,40.01,1.62,26.13,True,PE适用,-7.602233,29.197093,0.52,20.76232,23.541702,,,,-0.02,-6.22,-0.03,0.0,偏买入,2,2.32,51.7,52.7,8.29,6.22,6.62,6.71,6
600844,金煤科技,,3.47,-1.98,5.87,0.64,缩量,中性,0,偏多,60,无,0,多头排列,多头,62.07,39.56,62.26,-46.44,44.65,35.38,False,亏损/PE失效,1.063193,128.038012,28.56,19.267068,85.095052,,,,-0.02,-1.88,-0.2,0.0,观望,0,5.17,46.9,50.7,18.49,13.86,3.33,3.53,0
603987,康德莱,,7.65,0.26,4.05,0.71,平量,中性,0,偏多,60,无,0,多头排列,多头,76.29,77.99,64.88,14.19,1.16,33.15,True,PE适用,-2.079769,-10.931191,1.97,31.502345,24.830974,,,,-0.04,-10.03,-0.03,0.0,观望,0,2.06,50.5,54.3,7.38,5.54,6.98,7.71,0
601086,国芳集团,,7.84,-1.75,3.16,0.61,缩量,中性,0,偏多,60,无,0,多头排列,多头,56.6,32.38,56.18,56.41,3.35,54.55,True,PE适用,14.727113,174.140092,2.57,40.857518,44.134537,,,,-0.03,-4.01,-0.09,0.0,观望,0,4.76,49.1,47.3,17.05,12.79,6.62,8.4,0
601858,中国科传,,24.52,-4.37,14.67,0.63,缩量,中性,1,偏多,60,无,0,多头排列,多头,72.93,56.85,63.81,39.93,3.4,194.3,True,PE适用,-19.844308,7.901304,0.66,40.473066,22.714115,,,,,,,,观望,1,6.53,50.1,48.5,23.38,17.53,21.15,24.55,4
601108,财通证券,,8.83,-1.67,4.5,1.87,放量,中性,0,偏多,60,无,0,多头排列,多头,58.97,58.94,59.09,13.13,1.02,388.68,True,PE适用,54.407899,113.034037,1.61,44.999144,70.896554,,,,0.96,4.41,0.99,3.0,偏买入,3,2.92,50.1,53.3,10.45,7.84,8.56,8.86,1
605266,健之佳,,16.9,-1.17,2.68,0.56,缩量,中性,0,偏多,60,无,0,多头排列,多头,50.76,35.63,55.89,17.9,1.0,26.95,True,PE适用,-8.86395,7.230754,1.28,35.445743,71.18167,,,,-0.02,-7.11,0.03,0.0,偏卖出,-2,3.23,48.9,46.5,11.55,8.66,16.62,17.26,0
603988,中电电机,,21.88,-0.55,12.58,0.56,缩量,中性,1,偏多,60,无,0,多头排列,多头,68.94,48.95,61.17,177.53,8.3,54.94,True,PE适用,-0.614131,7.211339,0.68,29.144579,38.069232,,,,,,,,观望,1,6.99,48.1,48.3,24.99,18.75,20.37,22.27,0
605108,同庆楼,,12.73,-0.16,2.55,0.58,缩量,中性,0,偏多,60,无,0,多头排列,多头,63.17,45.31,55.18,49.35,1.42,33.1,True,PE适用,3.637684,-67.651014,0.73,17.05801,61.357833,,,,0.01,2.9,-0.05,2.0,偏买入,3,3.07,46.9,46.3,11.0,8.25,11.01,16.69,4
002827,高争民爆,,56.74,2.98,44.37,0.93,平量,超买,3,偏多,60,无,0,多头排列,多头,85.46,73.21,75.74,79.03,13.9,150.05,True,PE适用,0.238317,-46.265504,0.88,23.705138,50.377156,差,,通过,,,,,观望,-1,6.99,51.3,48.7,25.0,18.75,37.18,61.46,6
300016,北陆药业,,8.73,-0.23,9.0,0.7,平量,中性,1,偏多,60,无,0,多头排列,多头,83.23,84.16,66.61,39.72,2.12,48.92,True,PE适用,13.332729,209.356064,1.97,46.51904,28.348287,,,,-0.14,-8.09,-0.27,0.0,观望,0,3.26,50.3,51.9,11.68,8.76,8.66,8.78,1
603716,塞力医疗,,17.35,-2.09,6.72,0.55,缩量,中性,0,偏多,60,无,0,多头排列,多头,55.83,34.3,56.36,-18.61,3.88,39.17,False,亏损/PE失效,-36.751829,-22.332474,-1.9393,25.156703,43.294212,,,,,,,,观望,1,7.34,48.5,47.5,26.25,19.69,13.2,17.81,0
